Numero,Nom,NPA,Ville,Adresse,Contact,Presidence,PLZ,Ortschaftsname,Kantonskürzel
4201.0,"Fromagerie villageoise Moléson SA, Orsonnens",1694,Orsonnens,Route de Villarsel 30,info@moleson-sa.ch,Gérard Morel,1694.0,Orsonnens,FR
4223.0,Fromagerie villageoise Mont-de-Travers,2105,Travers,Le Mont 1,,Cruchaud Jacques-André,2105.0,Travers,NE
4115.0,Fromagerie villageoise Montbovon,1669,Montbovon,Route de l'Intyamon 324,info@fromagerie-montbovon.ch,Castella Patrick,1669.0,Montbovon,FR
4351.0,Fromagerie villageoise Montricher,1147,Montricher,Chemin des Rippes 11,marketing@lafromageriegourmande.ch,Freymond Sylvain,1147.0,Montricher,VD
79263660.0,Fromagerie villageoise Moudon,1510,Moudon,Chemin du Grand-Pré 8d,,Zurcher Samuel,1510.0,Moudon,VD
4143.0,Fromagerie villageoise Neyruz,1740,Neyruz,Route du Puits 2,laiterie.pasquier@bluewin.ch,Schafer Jean-Louis,,,
4203.0,Fromagerie villageoise Niedermuhren,1714,Heitenried,Niedermuhren 171,026 / 495.25.95,Riedo Urs,1714.0,Heitenried,FR
4021.0,Fromagerie villageoise Nods,2518,Nods,Route de Lignières 5,admin@fdnsa.ch,Jean-Luc Bayard,2518.0,Nods,BE
4051.0,Fromagerie villageoise Obermettlen,3183,Obermettlen,Obermettlen 10,,Hunziker Thomas,,,
4144.0,Fromagerie villageoise Onnens,1756,Onnens,Route des Moilles 8,,Mazza Jerôme,,,
4396.0,Fromagerie villageoise Palézieux,1607,Palézieux-Village,Grand-Rue 19,,Bach Nicolas,1607.0,Palézieux-Village,VD
4353.0,Fromagerie villageoise Pampigny,1142,Pampigny,Place de la Laiterie 1,,Henneberger Sylvain,1142.0,Pampigny,VD
4397.0,Fromagerie villageoise Peney-le-Jorat,1059,Peney-le-Jorat,Place du Village 1,from.haut-jorat@bluewin.ch,Bigler Marc-Antoine,1059.0,Peney-le-Jorat,VD
4358.0,Fromagerie villageoise Penthéréaz,1375,Penthéréaz,Rue du Verdet 6,021/881 34 20,Pittet Cédric,1375.0,Penthéréaz,VD
4418.0,Fromagerie villageoise Pomy,1405,Pomy,Chemin de Laiterie 2,info@fromageriepomy.com,Beutler Robert,1405.0,Pomy,VD
4118.0,Fromagerie villageoise Pont-la-Ville,1649,Pont-la-Ville,Route de Treyvaux 21,,Bapst Sébastien,1649.0,Pont-la-Ville,FR
4145.0,Fromagerie villageoise Ponthaux,1772,Ponthaux,Route du Village 13,fromageriedeponthaux@gmail.com,Beyeler André,1772.0,Ponthaux,FR
4146.0,Fromagerie villageoise Posat,1726,Posat,Route Saint-Jacques 62,,,1726.0,Posat,FR
4147.0,Fromagerie villageoise Praroman,1724,Praroman-Le Mouret,Route de l'Eglise 103,,Kilchoer Alphonse,,,
4148.0,Fromagerie villageoise Prez-vers-Noréaz,1746,Prez-vers-Noréaz,Route de Fribourg 50,fromagerieprez@gmail.com,Ducommun Jean-Michel,1746.0,Prez-vers-Noréaz,FR
4092.0,Fromagerie villageoise Prez-vers-Siviriez,1677,Prez-vers-Siviriez,Chemin du Grand Clos 1,,Girard Daniel,1677.0,Prez-vers-Siviriez,FR
4167.0,Fromagerie villageoise Pringy,1663,Pringy-Gruyères,Place de la Gare 3,laiterie@lamaisondugruyere.ch,Porchet Fabienne,,,
4366.0,Fromagerie villageoise Provence,1428,Provence,Place d'Armes 1,info@fromagerie-provence.ch,Perrin Yves,1428.0,Provence,VD
4472.0,Fromagerie villageoise Rain,6026,Rain,Dorfstrasse 6,,Brunner Thomas,6026.0,Rain,LU
4053.0,Fromagerie villageoise Rechthalten,1718,Rechthalten,Freiburgstrasse 10,,Carrel Robert,1718.0,Rechthalten,FR
4267.0,Fromagerie villageoise Reckenkien,4117,Mümliswil,Reckenkien 257,,Bader Ueli,,,
4120.0,Fromagerie villageoise Romanens,1626,Romanens,Route de Rueyres 3,fromageriecaille@gmail.com,Menoud Christian,1626.0,Romanens,FR
4093.0,Fromagerie villageoise Romont,1680,Romont,Impasse de la Maladaire 2,info@fromagerieromontoise.ch,Grandjean Denis,,,
4398.0,Fromagerie villageoise Ropraz,1088,Ropraz,Rue des Artisans 14,from.ropraz@bluewin.ch,Cherpillod Urbain,1088.0,Ropraz,VD
4149.0,Fromagerie villageoise Rossens,1728,Rossens,Route du Barrage 100,fromagerieguillet@bluewin.ch,Devaud Bertrand,,,
4121.0,Fromagerie villageoise Rueyres-Treyfayes,1626,Romanens,Route de Treyfayes 12,,Overney Frédéric,1626.0,Romanens,FR
4122.0,Fromagerie villageoise Sâles,1625,Sâles,Route de la Joretta 6,,Fahrini Michel,,,
4329.0,Fromagerie villageoise Salvenach,1794,Salvenach,Hauptstrasse 56,kaesereisalvenach@gmail.com,Abbühl Martin,1794.0,Salvenach,FR
4158.0,Fromagerie villageoise Semsales,1623,Semsales,Grand-Rue 7,,Berthoud William,1623.0,Semsales,FR
31578912.0,Fromagerie villageoise Senarclens,1034,Senarclens,Fromagerie de Senarclens,,Marc Vial,,,
4094.0,Fromagerie villageoise Sommentier,1688,Sommentier,Route du Mottex 7,mk@fromagerie-sommentier.ch,Castella Vincent,1688.0,Sommentier,FR
4016.0,Fromagerie villageoise Sonvilier,2615,Sonvilier,Rue Fritz-Marchand 22,info@spielhofer-sa.ch,Krähenbühl Daniel,2615.0,Sonvilier,BE
4200.0,Fromagerie villageoise St-Antoni,1713,St-Antoni,Obermontenstrasse 5,,Fasel Thomas,,,
4374.0,Fromagerie villageoise St-Cierges,1410,St-Cierges,Route de Lausanne 16,info@lebrigand.ch,Vulliens Patrick,1410.0,St-Cierges,VD
4338.0,Fromagerie villageoise St-George,1188,St-George,Grand-Rue 7,,Germain Philippe,1188.0,St-George,VD
4475.0,Fromagerie villageoise Steinen,6422,Steinen,Frauholzstrasse 48,info@schwyzerkaese.ch,Epp Pius,6422.0,Steinen,SZ
4204.0,Fromagerie villageoise Strauss,1717,St-Ursen,Struss 1,,Oberson Joël,,,
3319.0,Fromagerie villageoise Tentlingen,1734,Tentlingen,Käsereistrasse 3,kaeserei-aergera@sensemail.ch,Marro Christian,1734.0,Tentlingen,FR
4028.0,Fromagerie villageoise Trubschachen,3555,Trubschachen,Dorfstrasse 58,info@kaeserei-goetschi.ch,Wüthrich Hanspeter,3555.0,Trubschachen,BE
4095.0,Fromagerie villageoise Ursy,1670,Ursy,Chemin du Marais 3,,Gavillet Claude,1670.0,Ursy,FR
4386.0,Fromagerie villageoise Vaulion,1325,Vaulion,Rue du Collège 31,021 652 72 72,Philippe Bally,1325.0,Vaulion,VD
4123.0,Fromagerie villageoise Vaulruz,1627,Vaulruz,Rue de la Gare-du-Sud 1,fromagerie-de-vaulruz@bluewin.ch,Chollet Gaétan,1627.0,Vaulruz,FR
4096.0,Fromagerie villageoise Villaraboud,1679,Villaraboud,Route du Bugnon 92,fromagerie.villaraboud@gmail.com,Dumas Christian,1679.0,Villaraboud,FR
4098.0,Fromagerie villageoise Villargiroud,1694,Villargiroud,Rte du Châtelard 8,026/653 18 38,Catherine Chenaux Dougoud,1694.0,Villargiroud,FR
4325.0,Fromagerie villageoise Villarimboud,1691,Villarimboud,Route de Châtonnaye 1,,Roux Jean-Daniel,1691.0,Villarimboud,FR
4368.0,Fromagerie villageoise Villars-Burquin,1423,Villars-Burquin,Route de Romairon 2,fromvillarsburquin@gmail.com,Fardel Didier,1423.0,Villars-Burquin,VD
4408.0,Fromagerie villageoise Villarzel,1555,Villarzel,Route de Marnand 21,,Gentil Laurent,1555.0,Villarzel,VD
4084.0,Fromagerie villageoise Villaz-St-Pierre,1690,Villaz-St-Pierre,Route de Fuyens 14,,Eltschinger Roger,1690.0,Villaz-St-Pierre,FR
4026.0,Fromagerie villageoise Vorderfultigen,3089,Rüeggisberg,Fultigenstrasse 26,031 / 802 04 06,Burren Heinz,,,
4124.0,Fromagerie villageoise Vuadens,1628,Vuadens,Route Principale 163,contact@fromagerievuadens.ch,Morand François,1628.0,Vuadens,FR
4076.0,Fromagerie villageoise Vuarmarens & Environ,1674,Vuarmarens,Route de Morlens 42,contact@fromagerievuarmarens.ch,Conus Pascal,1674.0,Vuarmarens,FR
4356.0,Fromagerie villageoise Vuarrens,1418,Vuarrens,Route de Corcelles 21,info@fromagerie-du-gros-de-vaud.ch,Leibundgut Ueli,1418.0,Vuarrens,VD
4102.0,Fromagerie villageoise Vuisternens-devant-Romont,1687,Vuisternens-devant-Romont,Route de Bulle 6,fromageriedupatchi@gmail.com,Menoud René,1687.0,Vuisternens-devant-Romont,FR
4151.0,Fromagerie villageoise Vuisternens-en-Ogoz,1696,Vuisternens-en-Ogoz,Route de Rueyres 8,nicolas_charriere@bluewin.ch,Richoz Jean-François,1696.0,Vuisternens-en-Ogoz,FR
3321.0,Fromagerie villageoise Wengliswil,1715,Alterswil,Wengliswil 30,026/494.08.94,Bapst Marcel,,,
