Numero,Nom,NPA,Ville,Adresse,Contact,Presidence,Canton,PLZ,Ortschaftsname,lat,lng
4370.0,Fromagerie villageoise Brenles-Chesalles-Sarzens,1683,Brenles,Place de la Laiterie 1,,Nicolas Pichonnat,VD,1683.0,Brenles,46.66906812389223,6.856901921267183
4208.0,Fromagerie villageoise Büel-Plaffeien,1716,Oberschrot,Büel 50,,Bapst Markus,FR,1716.0,Oberschrot,46.739142102067675,7.273126268447148
4362.0,Fromagerie villageoise Bullet,1453,Bullet,Petite Charrière 1,,Wieland Daphnée,VD,1453.0,Bullet,46.84875062442402,6.56075092437157
4107.0,Fromagerie villageoise Charmey,1637,Charmey (Gruyère),La Tzintre 53,026/927.11.31,Savary Cédric,FR,1637.0,Charmey (Gruyère),46.575249004438454,7.20695710789112
4156.0,Fromagerie villageoise Châtel-St-Denis,1618,Châtel-St-Denis,Route Prayoud 55,,Genoud Etienne,FR,1618.0,Châtel-St-Denis,46.53380781197392,6.943515988774162
4079.0,Fromagerie villageoise Châtelard-Bas,1689,Le Châtelard-près-Romont,Route de la Bourga 5,,Uldry René,FR,1689.0,Le Châtelard-près-Romont,46.67428341342071,6.998644240771929
4324.0,Fromagerie villageoise Châtonnaye,1553,Châtonnaye,Route des Roches 6,info@fromagerie-mesot.ch,Glauser Fritz,FR,1553.0,Châtonnaye,46.75005237230703,6.94882659210939
4081.0,Fromagerie villageoise Chavannes-les-Forts,1676,Chavannes-les-Forts,Rte d'Oron 140,026/656.13.42,Surchat Pascal,FR,1676.0,Chavannes-les-Forts,46.65091887752819,6.89570294932507
4131.0,Fromagerie villageoise Chénens,1744,Chénens,Route d'Autigny 12,,Defferard Claude,FR,1744.0,Chénens,46.742565229916266,6.996446354970885
4392.0,Fromagerie villageoise Chesalles-sur-Oron,1608,Chesalles-sur-Oron,Route de Bulle 3,021/ 907.74.84,Imhof Pierre,VD,1608.0,Chesalles-sur-Oron,46.572872676075654,6.853169501777717
4218.0,Fromagerie villageoise Chézard-St-Martin,2053,Cernier,Passage des Cèpes 1,,Christen Daniel,NE,2053.0,Cernier,47.05995801526428,6.904056459126412
4400.0,Fromagerie villageoise Combremont-le-Grand,1535,Combremont-le-Grand,Place de l'Eglise 3,026 / 666.00.04,Pernet Serge,VD,1535.0,Combremont-le-Grand,46.765041214089564,6.82327118387926
4401.0,Fromagerie villageoise Combremont-le-Petit,1536,Combremont-le-Petit,Rue Lucens 8,026/666.00.97,Baumgartner Andréas,VD,1536.0,Combremont-le-Petit,46.746206517337434,6.803255271320988
4112.0,Fromagerie villageoise Corbières,1647,Corbières,Impasse Pra-Girard 1,026/915.25.60,Dominique Magnin,FR,1647.0,Corbières,46.65636420174055,7.120236523658439
4393.0,Fromagerie villageoise Corcelles-le-Jorat,1082,Corcelles-le-Jorat,Route de la Laiterie 6,021 / 903 17 90,Goël Jacques,VD,1082.0,Corcelles-le-Jorat,46.59882819741623,6.73035251417324
4014.0,Fromagerie villageoise Cortébert,2607,Cortébert,Les Ruaux 4,032 489 17 83,Fuhrer Swen,BE,2607.0,Cortébert,47.1896735395153,7.108268252771952
4135.0,Fromagerie villageoise Cottens,1741,Cottens (FR),Route du Centre 19,026 477 11 84,Nicolet Jean-Marc,FR,,,,
4265.0,Fromagerie villageoise Courgenay,2950,Courgenay,Rue de Sedrac 14,032/471.30.42,Oeuvray Aurélien,JU,2950.0,Courgenay,47.39581041755565,7.125941432033091
2409.0,Fromagerie villageoise Cremo,1752,Villars-sur-Glâne,Route de Moncor 6,info@cremo.ch,Godel Georges,FR,1752.0,Villars-sur-Glâne,46.79614825529258,7.122973474762948
4261.0,Fromagerie villageoise Develier,2802,Develier,Rue de La Liberté 27,,Boillat Vincent,JU,2802.0,Develier,47.363241925769024,7.28598905539131
3343.0,Fromagerie villageoise Düdingen,3186,Düdingen,Käsereistrasse 1,,Bernhard Raemy,FR,3186.0,Düdingen,46.84449319281755,7.189251312910686
61203775.0,Fromagerie villageoise Duo-Vallon/Les Bayards,2127,Les Bayards,Quartier de Bise 108,,Gfeller Jean-Pierre,NE,2127.0,Les Bayards,46.92318292413485,6.53803648474309
4108.0,Fromagerie villageoise Echarlens,1646,Echarlens,Route de Montilier 5,info@fromagerie-echarlens.ch,Charrière Pascal,FR,1646.0,Echarlens,46.66190018032066,7.090567283660069
4394.0,Fromagerie villageoise Ecoteaux,1612,Ecoteaux,Grand'Route 12,021/907.62.15,Chollet David,VD,1612.0,Ecoteaux,46.55093936146956,6.857127733219933
4047.0,Fromagerie villageoise Eichholz,1735,Giffers,Eichholz 8,026 / 418 25 16,Neuhaus Thomas,FR,1735.0,Giffers,46.75364877775675,7.229295226408084
4410.0,Fromagerie villageoise Essertines-sur-Rolle,1186,Essertines-sur-Rolle,Rte de St-Oyens 54,021/828.36.72,Monthoux Jean-Michel,VD,1186.0,Essertines-sur-Rolle,46.485039440399234,6.305345371544029
4138.0,Fromagerie villageoise Farvagny,1726,Farvagny-le-Grand,Route du Bry 7,farvagny@fromagerie-gibloux.ch,Suchet Pierre-Alain,FR,1726.0,Farvagny-le-Grand,46.71647606249384,7.0720132498959725
4263.0,Fromagerie villageoise Fornet-Dessous,2717,Fornet-Dessous,Fromagerie 45a,contact@fromagerieamstutz.ch,Gogniat David,BE,2717.0,Fornet-Dessous,47.277003218509115,7.17902091503977
4017.0,Fromagerie villageoise Franches-Montagnes SA,2340,Le Noirmont,Rue de l'Avenir 2,info@fdfm.ch,Sébastien Oppliger,JU,2340.0,Le Noirmont,47.21552531373554,6.944306740822012
4205.0,Fromagerie villageoise Friseneit,3185,Schmitten (FR),Friseneit 157,louis-a.yerly@bluewin.ch,Rudaz Elmar,FR,,,,
4035.0,Fromagerie villageoise Fritzenhaus,3457,Wasen im Emmental,Fritzenhaus,info@kaeserei-fritzenhaus.ch,Schütz Niklaus,BE,3457.0,Wasen im Emmental,47.029407850121686,7.840071190708844
4244.0,Fromagerie villageoise Gebertingen,8725,Gebertingen,Rickenstrasse 17,info@chaesi-walde.ch,Eicher Roman,SG,8725.0,Gebertingen,47.25586288593972,9.00347138460306
4335.0,Fromagerie villageoise Gimel,1188,Gimel,Rue de la Chomaz 5,laiterie.gimel@gmail.com,Bastian Cyril,VD,1188.0,Gimel,46.52134608196125,6.288648210850562
4403.0,Fromagerie villageoise Grandcour,1543,Grandcour,Chemin de Vernex 7,info@fromagerie-grandcour.ch,Mayor Mathias,VD,1543.0,Grandcour,46.87382383299272,6.928299623828197
4110.0,Fromagerie villageoise Grandvillard,1666,Grandvillard,Chemin des Noisetiers 1,laiterie.grandvillard@bluewin.ch,Borcard Antoine,FR,1666.0,Grandvillard,46.523309468646815,7.107511451611015
4136.0,Fromagerie villageoise Grangeneuve,1725,Posieux,Route de Grangeneuve 31,Gael.Niquille@fr.ch,Galley Alexandre,FR,1725.0,Posieux,46.7693888344956,7.1270094244356095
4085.0,Fromagerie villageoise Grangettes,1686,Grangettes-près-Romont,Centre Village 4,026/652.11.45,Jaquet Emmanuel,FR,1686.0,Grangettes-près-Romont,46.670926128539946,6.977673296206389
4139.0,Fromagerie villageoise Grolley,1772,Grolley,Place de l'Eglise 3,laiteriedegrolley@bluewin.ch,Buchs Jean-Daniel,FR,1772.0,Grolley,46.839063590730774,7.052858365086141
4111.0,Fromagerie villageoise Gumefens,1643,Gumefens,Route de la Chapelle 2,026/ 436 26 26,Richard Fragnière,FR,1643.0,Gumefens,46.677284739780575,7.075037627273119
4018.0,Fromagerie villageoise Häuslenbach,3531,Oberthal,Häuslenbach 122,haeuslenbach@bluewin.ch,Fankhauser Peter,BE,3531.0,Oberthal,46.905755090458314,7.691904288379039
4202.0,Fromagerie villageoise Heitenried,1714,Heitenried,Äbnet 3,laden@kaeserei-heitenried.ch,Linder André,FR,1714.0,Heitenried,46.82305070661719,7.300737764898583
4480.0,Fromagerie villageoise Hinterberg,6318,Walchwil,Hinterberg 1,rust@chaes-rust.ch,Kenel Jörg,ZG,6318.0,Walchwil,47.08986988357042,8.523390137877826
4029.0,Fromagerie villageoise Hirschmatt,3158,Guggisberg,Hirschmatt 149b,031/735.54.60,Stefan Schumacher,BE,3158.0,Guggisberg,46.759807528470056,7.320036148126125
4105.0,Fromagerie villageoise Jaun,1656,Jaun,Jaunpassstrasse 4,kaeserei.jaun@bluewin.ch,Cottier Michael,FR,1656.0,Jaun,46.606879485528715,7.284799690127382
4019.0,Fromagerie villageoise Juchlishaus,3204,Rosshäusern,Riedbachstrasse 21,,Marthaler Urs,BE,3204.0,Rosshäusern,46.92944560283794,7.272840982698501
4367.0,Fromagerie villageoise L'Auberson,1454,L'Auberson,Grand-Rue 124,fromagerie@tyrode.ch,Erb Benoît,VD,1454.0,L'Auberson,46.813988687739,6.4628060567350225
4350.0,Fromagerie villageoise L'Isle,1148,L'Isle,Rue du Levant 1,021 / 864.42.67,Hostettler Jürg,VD,1148.0,L'Isle,46.62270659939756,6.400895313489805
4214.0,Fromagerie villageoise La Brévine,2406,La Brévine,Village 198,,Pellaton Fabrice,NE,2406.0,La Brévine,46.97241208112776,6.602926058060251
4221.0,Fromagerie villageoise La Côte-aux-Fées,2117,La Côte-aux-Fées,Entre-deux-Bolles 2,,Burri Laurent,NE,2117.0,La Côte-aux-Fées,46.86428176638962,6.487599232958104
4087.0,Fromagerie villageoise La Joux,1697,La Joux FR,Rte de Montborget 3,,Droux Dominique,FR,1697.0,La Joux FR,46.62682991024198,6.9345015133856585
4219.0,Fromagerie villageoise La Joux-du-Plâne,2058,Le Pâquier NE,La Joux-du-Plâne 6,,Ducommun Stéphane,FR,2058.0,Le Pâquier NE,47.10373586906377,6.986199938084763
4384.0,Fromagerie villageoise La Praz,1148,La Praz,Grand-Rue 2,,David Adrien,VD,1148.0,La Praz,46.66880677098639,6.424587168431062
4119.0,Fromagerie villageoise La Roche,1634,La Roche FR,Route de Fribourg 13,info@fromageriedelaroche.ch,Paradis Dominique,FR,1634.0,La Roche FR,46.67666249942692,7.140584893369314
4211.0,Fromagerie villageoise La Sagne,2314,La Sagne NE,Miéville 132a,,Bähler Florian,NE,2314.0,La Sagne NE,47.071111273226826,6.845761804375389
4189.0,Fromagerie villageoise La Sionge,1625,Sâles (Gruyère),Route de la Sionge 31,,Seydoux Eric,FR,1625.0,Sâles (Gruyère),46.629522547971995,6.964006755762935
3312.0,Fromagerie villageoise Lanthen,3185,Schmitten (FR),Lanthen 1,,Reidy Pascal,FR,,,,
4411.0,Fromagerie villageoise Le Brassus,1348,Le Brassus,Le Rocher 4,,Daniel Kämpf,VD,1348.0,Le Brassus,46.5689010610584,6.198263280350897
4215.0,Fromagerie villageoise Le Cerneux-Péquignot,2414,Le Cerneux-Péquignot,Le Village 5,032/936.10.39,Pochon Philippe,NE,2414.0,Le Cerneux-Péquignot,47.01687067663151,6.664061267446342
4157.0,Fromagerie villageoise Le Crêt,1611,Le Crêt-près-Semsales,Rue de l'Eglise 56,fromagerie-liaudat@outlook.com,Ayer Serge,FR,1611.0,Le Crêt-près-Semsales,46.606742423716675,6.9208212574232455
4413.0,Fromagerie villageoise Le Lieu,1345,Le Lieu,Les Terreaux 8,info@hauser-authentique.ch,Bachelard David,VD,1345.0,Le Lieu,46.65191680419161,6.260064972629372
4142.0,Fromagerie villageoise Le Mouret,1724,Ferpicloz,Route de la Gruyère 6,026/ 413.11.07,Michel Clément,FR,1724.0,Ferpicloz,46.74817780494467,7.162226080988532
4117.0,Fromagerie villageoise Le Pâquier,1661,Le Pâquier-Montbarry,Place du Centre 10,,Morand Alexis,FR,1661.0,Le Pâquier-Montbarry,46.59998409810838,7.0372568987951905
4415.0,Fromagerie villageoise Le Solliat,1347,Le Solliat,Rue du Village 1,021/565.61.71,Jean-François Pittet,VD,1347.0,Le Solliat,46.62611024882982,6.220283089817645
4216.0,Fromagerie villageoise Les Chaux,2405,La Chaux-du-Milieu,Les Jolys 54,fromdeschaux@bluewin.ch,Edouard Philipona,NE,2405.0,La Chaux-du-Milieu,47.01600855642213,6.69521630601659
4222.0,Fromagerie villageoise Les Jordans,2406,Le Brouillet,Les Jordans 5,,Rosselet François,NE,2406.0,Le Brouillet,46.95382785634403,6.529839597744263
4217.0,Fromagerie villageoise Les Martel,2316,Les Ponts-de-Martel,Rue Major-Benoît 25,info@fromagerie-les-martel.ch, Raymondaz Thierry,NE,2316.0,Les Ponts-de-Martel,46.98925443092217,6.718668243418017
5973.1,Fromagerie villageoise Les Moulins,1660,Les Moulins,Route de la Rosette 1,,Chapalay Frédéric,VD,1660.0,Les Moulins,46.45093602172071,7.090598904956367
4012.0,Fromagerie villageoise Les Reussilles,2722,Les Reussilles,Le Saucy 24,info@fromageriesa.ch,Christen Thierry,BE,2722.0,Les Reussilles,47.22853775278872,7.076887857248282
4225.0,Fromagerie villageoise Les Sagnettes,2124,Les Sagnettes,Route de la Brévine 2,032/935.12.21,Robert Grégory,NE,2124.0,Les Sagnettes,46.95194595038095,6.600621290544363
4226.0,Fromagerie villageoise Les Verrières,2126,Les Verrières,Rue de la Gare 221,,Rosselet Christian,NE,2126.0,Les Verrières,46.916426913847204,6.473201892079475
4389.0,Fromagerie villageoise Lignerolle,1357,Lignerolle,Sur la Place 3,,Nicolet Jacques,VD,1357.0,Lignerolle,46.76518837288933,6.446968665416926
4060.0,Fromagerie villageoise Lignières,2523,Lignières,Rue du Franc-Alleu 22,fromageriedelignieres@gmail.com,Pascal Chiffelle,BE,2523.0,Lignières,47.080046146322324,7.0890013046202265
4328.0,Fromagerie villageoise Lugnorre,1789,Lugnorre,Route de Chenaux 11,admin@fdnsa.ch,Amiet Jacques,FR,1789.0,Lugnorre,46.95832813197708,7.074368752511214
3235.0,Fromagerie villageoise Mamishaus,3152,Mamishaus,Käsereistrasse 4,031 731 02 07,Beyeler Urs,BE,3152.0,Mamishaus,46.80617512892878,7.3987976654565335
4113.0,Fromagerie villageoise Marsens,1633,Marsens,Route des Bugnons 2,info@fromagerie-de-marsens.ch,Gapany Serge,FR,1633.0,Marsens,46.65677864659449,7.039563626399552
4089.0,Fromagerie villageoise Mézières,1684,Mézières FR,Route de Villariaz 1,info@fromagerie-mezieres.ch,Davet Denis,FR,1684.0,Mézières FR,46.68036935467271,6.927571904685183
4154.0,Fromagerie villageoise Misery,1721,Misery,Route de Courtion 83,gregoire@fromageriekern.ch,Markus Anken,FR,1721.0,Misery,46.8513745292638,7.069146014886309
4201.0,"Fromagerie villageoise Moléson SA, Orsonnens",1694,Orsonnens,Route de Villarsel 30,info@moleson-sa.ch,Gérard Morel,FR,1694.0,Orsonnens,46.712943580167455,6.995618135040135
4223.0,Fromagerie villageoise Mont-de-Travers,2105,Travers,Le Mont 1,,Cruchaud Jacques-André,NE,2105.0,Travers,46.97302944034639,6.667510116809727
4115.0,Fromagerie villageoise Montbovon,1669,Montbovon,Route de l'Intyamon 324,info@fromagerie-montbovon.ch,Castella Patrick,FR,1669.0,Montbovon,46.468024399308575,7.004259684912809
4351.0,Fromagerie villageoise Montricher,1147,Montricher,Chemin des Rippes 11,marketing@lafromageriegourmande.ch,Freymond Sylvain,VD,1147.0,Montricher,46.603012890440425,6.357463339033406
79263660.0,Fromagerie villageoise Moudon,1510,Moudon,Chemin du Grand-Pré 8d,,Zurcher Samuel,VD,1510.0,Moudon,46.6700128111046,6.8234725727424
4143.0,Fromagerie villageoise Neyruz,1740,Neyruz FR,Route du Puits 2,laiterie.pasquier@bluewin.ch,Schafer Jean-Louis,FR,1740.0,Neyruz FR,46.76616676988619,7.062164413930553
4203.0,Fromagerie villageoise Niedermuhren,1714,Heitenried,Niedermuhren 171,026 / 495.25.95,Riedo Urs,FR,1714.0,Heitenried,46.82305070661719,7.300737764898583
4021.0,Fromagerie villageoise Nods,2518,Nods,Route de Lignières 5,admin@fdnsa.ch,Jean-Luc Bayard,BE,2518.0,Nods,47.12161681633909,7.059193603609179
4051.0,Fromagerie villageoise Obermettlen,3182,Ueberstorf,Obermettlen 10,,Hunziker Thomas,FR,3182.0,Ueberstorf,46.854479920456356,7.282441751811059
4144.0,Fromagerie villageoise Onnens,1756,Onnens FR,Route des Moilles 8,,Mazza Jerôme,FR,1756.0,Onnens FR,46.77158985055618,7.038021272933893
4396.0,Fromagerie villageoise Palézieux,1607,Palézieux-Village,Grand-Rue 19,,Bach Nicolas,VD,1607.0,Palézieux-Village,46.55188115655354,6.834682290062264
4353.0,Fromagerie villageoise Pampigny,1142,Pampigny,Place de la Laiterie 1,,Henneberger Sylvain,VD,1142.0,Pampigny,46.58456337379006,6.416483778303483
4397.0,Fromagerie villageoise Peney-le-Jorat,1059,Peney-le-Jorat,Place du Village 1,from.haut-jorat@bluewin.ch,Bigler Marc-Antoine,VD,1059.0,Peney-le-Jorat,46.63872425229968,6.742032229338786
4358.0,Fromagerie villageoise Penthéréaz,1375,Penthéréaz,Rue du Verdet 6,021/881 34 20,Pittet Cédric,VD,1375.0,Penthéréaz,46.682929454098826,6.605328914904554
4418.0,Fromagerie villageoise Pomy,1405,Pomy,Chemin de Laiterie 2,info@fromageriepomy.com,Beutler Robert,VD,1405.0,Pomy,46.75860449254926,6.669076458681335
4118.0,Fromagerie villageoise Pont-la-Ville,1649,Pont-la-Ville,Route de Treyvaux 21,,Bapst Sébastien,FR,1649.0,Pont-la-Ville,46.701299714280836,7.113050392177554
4145.0,Fromagerie villageoise Ponthaux,1772,Ponthaux,Route du Village 13,fromageriedeponthaux@gmail.com,Beyeler André,FR,1772.0,Ponthaux,46.816649064817945,7.03985334301615
4146.0,Fromagerie villageoise Posat,1726,Posat,Route Saint-Jacques 62,,,FR,1726.0,Posat,46.74195042711219,7.061365244146125
4147.0,Fromagerie villageoise Praroman,1724,Le Mouret,Route de l'Eglise 103,,Kilchoer Alphonse,FR,1724.0,Le Mouret,46.74989869248889,7.181837487542558
4148.0,Fromagerie villageoise Prez-vers-Noréaz,1746,Prez-vers-Noréaz,Route de Fribourg 50,fromagerieprez@gmail.com,Ducommun Jean-Michel,FR,1746.0,Prez-vers-Noréaz,46.78430791301336,7.010524617395924
4092.0,Fromagerie villageoise Prez-vers-Siviriez,1677,Prez-vers-Siviriez,Chemin du Grand Clos 1,,Girard Daniel,FR,1677.0,Prez-vers-Siviriez,46.63501272861834,6.874077513964869
4167.0,Fromagerie villageoise Pringy,1663,Pringy,Place de la Gare 3,laiterie@lamaisondugruyere.ch,Porchet Fabienne,FR,1663.0,Pringy,46.578662034836654,7.062621447863788
4366.0,Fromagerie villageoise Provence,1428,Provence,Place d'Armes 1,info@fromagerie-provence.ch,Perrin Yves,VD,1428.0,Provence,46.8946624298277,6.703070162406655
4472.0,Fromagerie villageoise Rain,6026,Rain,Dorfstrasse 6,,Brunner Thomas,LU,6026.0,Rain,47.12772090517958,8.28279697311967
4053.0,Fromagerie villageoise Rechthalten,1718,Rechthalten,Freiburgstrasse 10,,Carrel Robert,FR,1718.0,Rechthalten,46.76542024147207,7.244751739581549
4267.0,Fromagerie villageoise Reckenkien,4117,Burg im Leimental,Reckenkien 257,,Bader Ueli,BL,4117.0,Burg im Leimental,47.45263291672883,7.439421525134463
4120.0,Fromagerie villageoise Romanens,1626,Romanens,Route de Rueyres 3,fromageriecaille@gmail.com,Menoud Christian,FR,1626.0,Romanens,46.65238495310686,6.973584177776725
4093.0,Fromagerie villageoise Romont,1680,Romont FR,Impasse de la Maladaire 2,info@fromagerieromontoise.ch,Grandjean Denis,FR,1680.0,Romont FR,46.69151895750261,6.935215113351663
4398.0,Fromagerie villageoise Ropraz,1088,Ropraz,Rue des Artisans 14,from.ropraz@bluewin.ch,Cherpillod Urbain,VD,1088.0,Ropraz,46.60979534803756,6.751142500012484
4149.0,Fromagerie villageoise Rossens,1728,Rossens FR,Route du Barrage 100,fromagerieguillet@bluewin.ch,Devaud Bertrand,FR,1728.0,Rossens FR,46.724721274852726,7.0996103906975385
4121.0,Fromagerie villageoise Rueyres-Treyfayes,1626,Romanens,Route de Treyfayes 12,,Overney Frédéric,FR,1626.0,Romanens,46.65238495310686,6.973584177776725
4122.0,Fromagerie villageoise Sâles,1625,Sâles (Gruyère),Route de la Joretta 6,,Fahrini Michel,FR,1625.0,Sâles (Gruyère),46.629522547971995,6.964006755762935
4329.0,Fromagerie villageoise Salvenach,1794,Salvenach,Hauptstrasse 56,kaesereisalvenach@gmail.com,Abbühl Martin,FR,1794.0,Salvenach,46.9139320931118,7.149850694292301
4158.0,Fromagerie villageoise Semsales,1623,Semsales,Grand-Rue 7,,Berthoud William,FR,1623.0,Semsales,46.574893262906784,6.954215632913442
31578912.0,Fromagerie villageoise Senarclens,1034,Boussens,Fromagerie de Senarclens,,Marc Vial,VD,1034.0,Boussens,46.6029292319512,6.5850177537123615
4094.0,Fromagerie villageoise Sommentier,1688,Sommentier,Route du Mottex 7,mk@fromagerie-sommentier.ch,Castella Vincent,FR,1688.0,Sommentier,46.635784587992994,6.915606632676658
4016.0,Fromagerie villageoise Sonvilier,2615,Sonvilier,Rue Fritz-Marchand 22,info@spielhofer-sa.ch,Krähenbühl Daniel,BE,2615.0,Sonvilier,47.13136943374442,6.95668591386396
4200.0,Fromagerie villageoise St-Antoni,1713,St. Antoni,Obermontenstrasse 5,,Fasel Thomas,FR,1713.0,St. Antoni,46.83440622045446,7.260931260777006
4374.0,Fromagerie villageoise St-Cierges,1410,St-Cierges,Route de Lausanne 16,info@lebrigand.ch,Vulliens Patrick,VD,1410.0,St-Cierges,46.689615925044684,6.735260469100272
4338.0,Fromagerie villageoise St-George,1188,St-George,Grand-Rue 7,,Germain Philippe,VD,1188.0,St-George,46.51989761810088,6.256679037648862
4475.0,Fromagerie villageoise Steinen,6422,Steinen,Frauholzstrasse 48,info@schwyzerkaese.ch,Epp Pius,SZ,6422.0,Steinen,47.067607988042916,8.611932109884378
4204.0,Fromagerie villageoise Strauss,1717,St. Ursen,Struss 1,,Oberson Joël,FR,1717.0,St. Ursen,46.789391805921355,7.228576675832516
3319.0,Fromagerie villageoise Tentlingen,1734,Tentlingen,Käsereistrasse 3,kaeserei-aergera@sensemail.ch,Marro Christian,FR,1734.0,Tentlingen,46.753051913187974,7.19363306502752
4028.0,Fromagerie villageoise Trubschachen,3555,Trubschachen,Dorfstrasse 58,info@kaeserei-goetschi.ch,Wüthrich Hanspeter,BE,3555.0,Trubschachen,46.92361486596135,7.824320646553166
4095.0,Fromagerie villageoise Ursy,1670,Ursy,Chemin du Marais 3,,Gavillet Claude,FR,1670.0,Ursy,46.634734418833084,6.836358122519469
4386.0,Fromagerie villageoise Vaulion,1325,Vaulion,Rue du Collège 31,021 652 72 72,Philippe Bally,VD,1325.0,Vaulion,46.66234328729477,6.367344675693812
4123.0,Fromagerie villageoise Vaulruz,1627,Vaulruz,Rue de la Gare-du-Sud 1,fromagerie-de-vaulruz@bluewin.ch,Chollet Gaétan,FR,1627.0,Vaulruz,46.605731198079475,6.95780366051873
4096.0,Fromagerie villageoise Villaraboud,1679,Villaraboud,Route du Bugnon 92,fromagerie.villaraboud@gmail.com,Dumas Christian,FR,1679.0,Villaraboud,46.656364774459625,6.913440547782852
4098.0,Fromagerie villageoise Villargiroud,1694,Villargiroud,Rte du Châtelard 8,026/653 18 38,Catherine Chenaux Dougoud,FR,1694.0,Villargiroud,46.696465397873986,7.000206280498614
4325.0,Fromagerie villageoise Villarimboud,1691,Villarimboud,Route de Châtonnaye 1,,Roux Jean-Daniel,FR,1691.0,Villarimboud,46.74261681220178,6.9670682956376675
4368.0,Fromagerie villageoise Villars-Burquin,1423,Villars-Burquin,Route de Romairon 2,fromvillarsburquin@gmail.com,Fardel Didier,VD,1423.0,Villars-Burquin,46.84746450268302,6.626347595413645
4408.0,Fromagerie villageoise Villarzel,1555,Villarzel,Route de Marnand 21,,Gentil Laurent,VD,1555.0,Villarzel,46.742186385110145,6.90798017779084
4084.0,Fromagerie villageoise Villaz-St-Pierre,1690,Villaz-St-Pierre,Route de Fuyens 14,,Eltschinger Roger,FR,1690.0,Villaz-St-Pierre,46.7237948738732,6.973483518554463
4026.0,Fromagerie villageoise Vorderfultigen,3089,Hinterfultigen,Fultigenstrasse 26,031 / 802 04 06,Burren Heinz,BE,3089.0,Hinterfultigen,46.837862176743094,7.404709455249648
4124.0,Fromagerie villageoise Vuadens,1628,Vuadens,Route Principale 163,contact@fromagerievuadens.ch,Morand François,FR,1628.0,Vuadens,46.63167543569176,7.02980902564982
4076.0,Fromagerie villageoise Vuarmarens & Environ,1674,Vuarmarens,Route de Morlens 42,contact@fromagerievuarmarens.ch,Conus Pascal,FR,1674.0,Vuarmarens,46.647762708355174,6.82867209055952
4356.0,Fromagerie villageoise Vuarrens,1418,Vuarrens,Route de Corcelles 21,info@fromagerie-du-gros-de-vaud.ch,Leibundgut Ueli,VD,1418.0,Vuarrens,46.68535369592489,6.646763318972082
4102.0,Fromagerie villageoise Vuisternens-devant-Romont,1687,Vuisternens-devant-Romont,Route de Bulle 6,fromageriedupatchi@gmail.com,Menoud René,FR,1687.0,Vuisternens-devant-Romont,46.65093659240408,6.932605493661004
4151.0,Fromagerie villageoise Vuisternens-en-Ogoz,1696,Vuisternens-en-Ogoz,Route de Rueyres 8,nicolas_charriere@bluewin.ch,Richoz Jean-François,FR,1696.0,Vuisternens-en-Ogoz,46.70406375916903,7.057848242048855
3321.0,Fromagerie villageoise Wengliswil,1715,Alterswil FR,Wengliswil 30,026/494.08.94,Bapst Marcel,FR,1715.0,Alterswil FR,46.780143135535745,7.270365180581011
